MEMBER_KEY,MEMBER_NAME_x,YEAR,YEARLY_SPEND,TARGET_SPEND,MEMBER_NAME_y,BUSINESS_TYPE,POSTCODE_AREA,SECTOR_1,SECTOR_2,SIC_CODES,TRADE_COUNTER,WEB_PRESENCE
09bff507bc08bfee8d480bf6c1323195,Seddon Plant & Engineers Ltd Bolton,2023,23454.85,11714.0,Seddon Plant & Engineers Ltd Normanton,Member,WF,,Construction Supplies,,True,True
09bff507bc08bfee8d480bf6c1323195,Seddon Plant & Engineers Ltd Bolton,2024,2182.32,14490.0,Seddon Plant & Engineers Ltd Birmingham,Member,B,,Construction Supplies,,True,True
09bff507bc08bfee8d480bf6c1323195,Seddon Plant & Engineers Ltd Bolton,2024,2182.32,14490.0,Seddon Plant & Engineers Ltd Bolton,Member,BL,"Construction, Aggregates and Mining",Construction Supplies,46690,True,True
09bff507bc08bfee8d480bf6c1323195,Seddon Plant & Engineers Ltd Bolton,2024,2182.32,14490.0,Seddon Plant & Engineers Ltd Airdrie,Member,ML,,Construction Supplies,,True,True
09bff507bc08bfee8d480bf6c1323195,Seddon Plant & Engineers Ltd Bolton,2024,2182.32,14490.0,Seddon Plant & Engineers Ltd Nottingham,Member,NG,,Construction Supplies,,True,False
09bff507bc08bfee8d480bf6c1323195,Seddon Plant & Engineers Ltd Bolton,2024,2182.32,14490.0,Seddon Plant & Engineers Ltd Stoke-On-Trent,Member,ST,,Construction Supplies,,True,True
09bff507bc08bfee8d480bf6c1323195,Seddon Plant & Engineers Ltd Bolton,2024,2182.32,14490.0,Seddon Plant & Engineers Ltd Normanton,Member,WF,,Construction Supplies,,True,True
0b78768e7eb9b838e52dac1e5a211b11,EM Industrial Products Ltd,2017,0.0,,EM Industrial Products Ltd,Member,TF,,,,False,False
0b932199de6362f08310564b39a48a10,Stockexe Ltd t/a Stock Exe Building Supplies,2022,24063.76,0.0,Stockexe Ltd t/a Stock Exe Building Supplies,Member,EX,Builders Merchant,,,False,False
0b932199de6362f08310564b39a48a10,Stockexe Ltd t/a Stock Exe Building Supplies,2023,30619.53,27693.0,Stockexe Ltd t/a Stock Exe Building Supplies,Member,EX,Builders Merchant,,,False,False
0b932199de6362f08310564b39a48a10,Stockexe Ltd t/a Stock Exe Building Supplies,2024,3742.39,33583.0,Stockexe Ltd t/a Stock Exe Building Supplies,Member,EX,Builders Merchant,,,False,False
0ce21bd598daf9317b5d8bbe669ad5df,Scots Bearings Ltd Aberdeen,2019,1785.6,,Scots Bearings Ltd Aberdeen,Member,AB,Industrial Distribution,"Maintenance, Repair and Overhaul",96090,True,True
0ce21bd598daf9317b5d8bbe669ad5df,Scots Bearings Ltd Aberdeen,2019,1785.6,,Scots Bearings Ltd Harlow,Member,CM,Industrial Distribution,,,False,True
0ce21bd598daf9317b5d8bbe669ad5df,Scots Bearings Ltd Aberdeen,2019,1785.6,,Scots Bearings Ltd Dundee,Member,DD,,"Maintenance, Repair and Overhaul",,True,True
0ce21bd598daf9317b5d8bbe669ad5df,Scots Bearings Ltd Aberdeen,2019,1785.6,,Scots Bearings Ltd Glasgow,Member,G,,"Maintenance, Repair and Overhaul",,True,True
0ce21bd598daf9317b5d8bbe669ad5df,Scots Bearings Ltd Aberdeen,2019,1785.6,,Scots Bearings Ltd Inverness,Member,IV,,"Maintenance, Repair and Overhaul",,True,True
0ce21bd598daf9317b5d8bbe669ad5df,Scots Bearings Ltd Aberdeen,2019,1785.6,,Scots Bearings Ltd Ayrshire,Member,KA,,Engineering,,True,True
0d5b864ad8047024d2f8e56d2fc8f69c,UNIVERSAL TOOL HIRE & SUPPLIES,2020,463.7,,UNIVERSAL TOOL HIRE & SUPPLIES,Member,BA,,,,,
0da2eb122ab939a200abf01e9b203194,JBS Group (Sheffield)  ASP,2017,261877.68,,JBS Group (Aberdeen),Member,AB,,,,False,True
